"19362","Tulsair Beechcraft Inc.: TUL"
"19363","Temsco Airlines: TYE"
"19364","Universal Airways Inc.: UAI"
"19365","Air U.S.: USA"
"19366","Vagabond Aviation Inc.: VAG"
"19367","Britt Airlines Inc.: VER"
"19368","Viking Express: VIG"
"19369","Vale International Airlines: VIN"
"19370","Valley Airlines: VLY"
"19371","Air East Airlines: WAC"
"19372","Walker's International: WCA"
"19373","Mountainwest Airlines: WCI"
"19374","Western Star Airlines Inc.: WES"
"19375","Western Charter Inc.: WET"
"19376","Wheeler Airlines: WFS"
"19377","Wisc Air: WIA"
"19378","Will's Air: WIL"
"19379","Wings Airways: WNG"
"19380","Mcphillips Flying Service: ZFZ"
"19381","Air New Mexico: ZIA"
"19382","Winnipesaukee Aviation Inc.: ZMZ"
"19383","Skyway Aviation Inc.: ZYZ"
"19384","P.S. Air Freight Inc.: PSA"
"19385","Reeve Aleutian Airways Inc.: RV (1)"
"19386","Northwest Airlines Inc.: NW"
"19387","Wien Air Alaska Inc.: WC"
"19388","Southern Airways: FTI"
"19389","Air Florida Inc.: QH"
"19390","Air California Inc.: OC"
"19391","Pacific Southwest Airlines: PS (1)"
"19392","Rich International Airways: RIQ"
"19393","Southwest Airlines Co.: WN"
"19394","Mid-South Aviation Inc.: VL"
"19395","Mid-South Aviation Inc. (1): RCA"
"19396","Sky West Aviation Inc.: QG"
"19397","Republic Airlines Inc.: RC"
"19398","Dauphin Island Airways: DAU"
"19399","New York Air Inc.: NY"
"19400","Global International Airways Corp.: GIQ"
"19401","Colgan Airways Inc.: CJ"
"19402","Overseas National Airways: UNQ"
"19403","Flight International: PTQ"
"19404","Academy Airlines: ACD"
"19405","Check-Air Inc.: ACL"
"19406","Transwest Air Express: ACW"
"19407","Airgo Inc.: AIG"
"19408","American Air Transport: AMT"
"19409","Bo-S-Aire Airlines Inc.: BOI"
"19410","Combs Airways Inc.: CMB"
"19411","Summit Airlines Inc.: DUZ"
"19412","Eagle Aviation Inc.: EEZ"
